姓名,出生地,毕业院校,专业背景
乙晓光,江苏,空军保定学校,军人
丁来杭,浙江,空军第九航空学校,军人
丁学东,江苏,中南财经政法大学,其他
丁薛祥,江苏,复旦大学,其他
于伟国,山东,中国人民大学,其他
于忠福,山东,华中师范大学,军人
万立骏,辽宁,大连理工大学z日本东北大学,博士
习近平,陕西,清华大学,博士
马飚,广西,中央民族学院,其他
马兴瑞,山东,哈尔滨工业大学,博士
王宁,山东,,军人
王军,河南,北京大学,博士
王勇,辽宁,哈尔滨工业大学,硕士
王晨,北京,中国社会科学院,硕士
王毅,北京,北京第二外国语学院,硕士
王小洪,福建,中央党校,其他
王玉普,辽宁,中国石油大学,博士
王正伟,宁夏,中央民族大学,博士
王东明,辽宁,中央党校z辽宁大学,其他
王东峰,陕西,西安交通大学,硕士
王尔乘,辽宁,北京师范大学z中欧国际工商学院,硕士
王志民,福建,福建师范大学,博士
王志刚,安徽,西北电讯工程学院,其他
王沪宁,山东,复旦大学,硕士
王国生,山东,山东大学z山东省委党校,其他
王建军,湖北,中央党校,其他
王建武,河南,,其他
王晓东,江西,中央党校,其他
王晓晖,吉林,吉林大学,硕士
王家胜,辽宁,国防科学技术大学,其他
王蒙徽,江苏,清华大学,博士
尤权,河北,中国人民大学,硕士
车俊,安徽,中央党校,其他
尹力,山东,俄罗斯医学科学院,博士
巴音朝鲁,内蒙古,吉林大学,硕士
巴特尔,辽宁,复旦大学,硕士
艾力更·依明巴海,新疆,西北轻工学院,其他
石泰峰,山西,北京大学,硕士
布小林,内蒙古,北京大学z吉林大学,博士
卢展工,浙江,哈尔滨建筑工程学院,其他
白春礼,辽宁,中国科学院,其他
吉炳轩,河南,郑州大学,其他
毕井泉,黑龙江,中央党校z北京大学,硕士
曲青山,山东,陕西师范大学,其他
朱生岭,江苏,解放军陆军指挥学院,硕士
刘奇,山东,西安交通大学,博士
刘雷,山东,,其他
刘鹤,河北,中国人民大学,硕士
刘士余,江苏,清华大学,硕士
刘万龙,山东,,其他
刘奇葆,安徽,吉林大学,硕士
刘国中,黑龙江,华东工程学院,硕士
刘国治,辽宁,清华大学,博士
刘金国,河北,中央党校,其他
刘结一,北京,北京外国语学院,其他
刘振立,河北,国防大学,硕士
刘家义,重庆,西南财经大学,博士
刘赐贵,福建,中央党校,其他
刘粤军,山东,中共中央党校,其他
齐扎拉,云南,中央党校,其他
安兆庆,辽宁,,其他
许勤,江苏,香港理工大学,博士
许又声,福建,厦门大学,其他
许达哲,湖南,哈尔滨工业大学,硕士
许其亮,山东,空军第五航空学校,军人
阮成发,湖北,华中师范大学,博士
孙志刚,河南,武汉大学,博士
孙金龙,湖北,中国人民大学,博士
