message_id,sent_time,messages_sent_in_day
许其亮,1950-03-01,1
孙春兰,1950-05-01,1
杨洁篪,1950-05-01,2
张又侠,1950-07-01,1
栗战书,1950-08-01,1
王晨,1950-12-01,1
张庆黎,1951-01-01,1
吉炳轩,1951-11-01,1
刘鹤,1952-01-01,1
卢展工,1952-05-01,1
刘奇葆,1953-01-01,1
张春贤,1953-05-01,1
习近平,1953-06-01,1
冷溶,1953-08-01,1
雪克来提·扎克尔,1953-08-01,2
艾力更·依明巴海,1953-09-01,1
白春礼,1953-09-01,2
陈希,1953-09-01,3
王毅,1953-10-01,1
李作成,1953-10-01,2
杨晓渡,1953-10-01,3
赵克志,1953-12-01,1
尤权,1954-01-01,1
魏凤和,1954-02-01,1
陈豪,1954-02-01,2
沈德咏,1954-03-01,1
韩正,1954-04-01,1
孙志刚,1954-05-01,1
马飚,1954-08-01,1
谢伏瞻,1954-08-01,2
刘粤军,1954-09-01,1
黄树贤,1954-09-01,2
李斌,1954-10-01,1
李玉赋,1954-10-01,2
骆惠宁,1954-10-01,3
郭声琨,1954-10-01,4
韩长赋,1954-10-01,5
陈武,1954-11-01,1
陈求发,1954-12-01,1
王家胜,1955-01-01,1
郑卫平,1955-01-01,2
赵宗岐,1955-01-01,3
巴特尔,1955-02-01,1
何立峰,1955-02-01,2
汪洋,1955-03-01,1
胡泽君,1955-03-01,2
傅政华,1955-03-01,3
刘金国,1955-04-01,1
宋涛,1955-04-01,2
杨振武,1955-05-01,1
雒树刚,1955-05-01,2
苗圩,1955-05-01,3
蔡名照,1955-06-01,1
车俊,1955-07-01,1
杜家毫,1955-07-01,2
李克强,1955-07-01,3
王宁,1955-08-01,1
毕井泉,1955-09-01,1
刘赐贵,1955-09-01,2
曹建明,1955-09-01,3
于伟国,1955-10-01,1
王尔乘,1955-10-01,2
王沪宁,1955-10-01,3
巴音朝鲁,1955-10-01,4
宋秀岩,1955-10-01,5
张裔炯,1955-10-01,6
钟山,1955-10-01,7
陈全国,1955-11-01,1
苗华,1955-11-01,2
钱小芊,1955-11-01,3
王勇,1955-12-01,1
蔡奇,1955-12-01,2
鄂竟平,1956-01-01,1
韩卫国,1956-01-01,2
林铎,1956-03-01,1
徐安祥,1956-04-01,1
王国生,1956-05-01,1
潘立刚,1956-05-01,2
陈宝生,1956-05-01,3
袁誉柏,1956-05-01,4
于忠福,1956-07-01,1
王东明,1956-07-01,2
宋丹,1956-07-01,3
刘家义,1956-08-01,1
李鸿忠,1956-08-01,2
郭树清,1956-08-01,3
石泰峰,1956-09-01,1
许达哲,1956-09-01,2
王玉普,1956-10-01,1
李希,1956-10-01,2
沈金龙,1956-10-01,3
张军,1956-10-01,4
信春鹰,1956-10-01,5
范骁骏,1956-11-01,1
黄坤明,1956-11-01,2
鹿心社,1956-11-01,3
吴英杰,1956-12-01,1
穆虹,1956-12-01,2
娄勤俭,1956-12-01,3
刘雷,1957-01-01,1
李纪恒,1957-01-01,2
沈跃跃,1957-01-01,3
张纪南,1957-02-01,1
秦生祥,1957-02-01,2
赵乐际,1957-03-01,1
王志民,1957-04-01,1
彭清华,1957-04-01,2
曲青山,1957-05-01,1
安兆庆,1957-05-01,3
王正伟,1957-06-01,1
肖捷,1957-06-01,2
苟仲文,1957-06-01,3
万立骏,1957-07-01,1
王小洪,1957-07-01,2
洛桑江村,1957-07-01,3
聂辰席,1957-07-01,4
许又声,1957-08-01,1
邱学强,1957-08-01,2
蒋超良,1957-08-01,3
丁来杭,1957-09-01,1
刘奇,1957-09-01,2
铁凝,1957-09-01,3
王志刚,1957-10-01,1
阮成发,1957-10-01,2
陈润儿,1957-10-01,3
黄明,1957-10-01,4
朱生岭,1957-11-01,1
何平,1957-11-01,2
应勇,1957-11-01,3
刘结一,1957-12-01,1
周亚宁,1957-12-01,2
吴社洲,1958-01-01,1
王东峰,1958-02-01,1
李尚福,1958-02-01,2
李锦斌,1958-02-01,3
张升民,1958-02-01,4
咸辉,1958-03-01,1
乙晓光,1958-06-01,1
王建军,1958-06-01,2
袁曙宏,1958-07-01,1
王建武,1958-08-01,1
布小林,1958-08-01,2
齐扎拉,1958-08-01,3
王军,1958-11-01,1
郑和,1958-11-01,2
盛斌,1958-12-01,1
肖亚庆,1959-01-01,1
徐乐江,1959-04-01,1
高津,1959-04-01,2
李小鹏,1959-06-01,1
李晓红,1959-06-01,2
李强,1959-07-01,1
汪永清,1959-09-01,1
郑晓松,1959-09-01,2
马兴瑞,1959-10-01,1
李凤彪,1959-10-01,2
侯建国,1959-10-01,3
楼阳生,1959-10-01,4
谌贻琴,1959-12-01,1
王晓东,1960-01-01,1
王蒙徽,1960-01-01,2
陈文清,1960-01-01,3
丁学东,1960-02-01,1
李屹,1960-02-01,2
龚正,1960-03-01,1
周强,1960-04-01,1
孙绍骋,1960-07-01,1
郝鹏,1960-07-01,2
陈敏尔,1960-09-01,1
尚宏,1960-10-01,1
刘国治,1960-11-01,1
李传广,1961-03-01,1
李桥铭,1961-04-01,1
许勤,1961-10-01,1
刘士余,1961-11-01,1
张庆伟,1961-11-01,2
王晓晖,1962-01-01,1
孙金龙,1962-01-01,2
刘万龙,1962-07-01,1
刘国中,1962-07-01,2
尹力,1962-08-01,1
唐仁健,1962-08-01,2
丁薛祥,1962-09-01,1
袁家军,1962-09-01,2
胡和平,1962-10-01,1
怀进鹏,1962-12-01,1
努尔兰·阿不都满金,1962-12-01,2
黎火辉,1963-01-01,1
杨学军,1963-04-01,1
胡春华,1963-04-01,2
沈晓明,1963-05-01,1
徐麟,1963-06-01,1
张晓明,1963-09-01,1
李国英,1963-12-01,1
陈吉宁,1964-02-01,1
金壮龙,1964-03-01,1
黄守宏,1964-06-01,1
刘振立,1964-08-01,1
张国清,1964-08-01,2
倪岳峰,1964-09-01,1
李干杰,1964-11-01,1
吴政隆,1964-11-01,2
孟祥锋,1964-12-01,1
陆昊,1967-06-01,1
